genre,artist_name,track_name,popularity,danceability,energy,tempo,valence,categoria_popularidade
Country,"Crosby, Stills & Nash",Love the One You're With,56,0.609,0.489,97.163,0.132,Popular
Country,Dr. Hook,Cover of the Rolling Stone,54,0.648,0.472,142.184,0.907,Popular
Country,Bachman-Turner Overdrive,Let It Ride,52,0.632,0.781,104.797,0.843,Popular
Country,Dead Man Winter,Destroyer,51,0.511,0.813,121.801,0.826,Popular
Country,Jim James,Here In Spirit,53,0.528,0.556,80.038,0.512,Popular
Country,Todd Rundgren,I Saw the Light,51,0.583,0.833,119.884,0.81,Popular
Country,Blackfoot,Highway Song,51,0.342,0.819,127.102,0.537,Popular
Country,Bubba Sparxxx,Deliverance,53,0.718,0.812,93.629,0.706,Popular
Country,Little Feat,Dixie Chicken,55,0.566,0.669,149.702,0.92,Popular
Country,Langhorne Slim,Never Break,53,0.501,0.175,105.724,0.232,Popular
Country,Justin Tyler,2000 Miles,54,0.356,0.573,149.199,0.25,Popular
Country,38 Special,Second Chance,53,0.655,0.429,118.732,0.528,Popular
Country,Dawes,A Little Bit Of Everything,51,0.51,0.393,143.739,0.269,Popular
Country,Jefferson Starship,Miracles,53,0.617,0.335,113.226,0.655,Popular
Country,Langhorne Slim,Alligator Girl,52,0.522,0.296,67.012,0.399,Popular
Country,Jim James,Hide In Plain Sight,52,0.326,0.623,122.859,0.303,Popular
Country,Matthew Sweet,Girlfriend,52,0.529,0.714,120.598,0.814,Popular
Country,The Guess Who,"American Woman - 7"" Version",54,0.538,0.841,93.077,0.881,Popular
Country,Kenny Rogers,Lucille,52,0.646,0.362,142.46,0.387,Popular
Country,Taj Mahal,Diving Duck Blues,55,0.603,0.265,131.188,0.71,Popular
Country,Jojo Mason,Future,55,0.657,0.571,120.005,0.467,Popular
Alternative,Linkin Park,In the End,80,0.542,0.853,105.256,0.37,Hit Mundial
Alternative,Kid Rock,All Summer Long,72,0.7,0.864,102.997,0.887,Muito Popular
Alternative,Still Woozy,Goodie Bag,71,0.701,0.529,138.216,0.577,Muito Popular
Alternative,Third Eye Blind,Semi-Charmed Life,73,0.64,0.864,102.026,0.7,Muito Popular
Alternative,Evanescence,Bring Me To Life,75,0.316,0.945,189.931,0.32,Muito Popular
Alternative,Joji,NO FUN,71,0.809,0.483,96.974,0.715,Muito Popular
Alternative,6LACK,Pretty Little Fears (feat. J. Cole),74,0.611,0.466,192.08,0.223,Muito Popular
Alternative,Foo Fighters,Everlong,74,0.412,0.882,158.066,0.356,Muito Popular
Alternative,Nirvana,Come As You Are,70,0.505,0.825,119.987,0.541,Muito Popular
Alternative,Blind Melon,No Rain,71,0.389,0.476,148.117,0.566,Muito Popular
Alternative,Soundgarden,Black Hole Sun,74,0.354,0.825,105.495,0.16,Muito Popular
Alternative,3 Doors Down,Kryptonite,75,0.545,0.865,99.01,0.543,Muito Popular
Alternative,The White Stripes,Seven Nation Army,72,0.737,0.463,123.881,0.324,Muito Popular
Alternative,MGMT,Electric Feel,74,0.763,0.807,103.038,0.559,Muito Popular
Alternative,The 1975,Somebody Else,71,0.611,0.799,101.038,0.51,Muito Popular
Alternative,Tierra Whack,MY POWER,60,0.773,0.86,126.967,0.715,Popular
Alternative,Linkin Park,Numb,78,0.496,0.863,110.018,0.243,Muito Popular
Alternative,System Of A Down,Chop Suey!,77,0.419,0.934,127.288,0.286,Muito Popular
Alternative,Skillet,Monster,71,0.64,0.957,134.992,0.692,Muito Popular
Alternative,Frank Ocean,Nights,74,0.466,0.548,89.815,0.423,Muito Popular
Alternative,Frank Ocean,Thinkin Bout You,70,0.716,0.35,129.842,0.178,Muito Popular
Alternative,Fountains Of Wayne,Stacy's Mom,72,0.774,0.75,118.015,0.925,Muito Popular
Alternative,X Ambassadors,Unsteady,74,0.389,0.665,117.055,0.199,Muito Popular
Alternative,grandson,Blood // Water,68,0.504,0.891,153.988,0.628,Muito Popular
Alternative,Masego,Tadow,72,0.704,0.487,121.726,0.313,Muito Popular
Alternative,Weezer,Island In The Sun,74,0.654,0.81,114.623,0.661,Muito Popular
Alternative,Frank Ocean,Ivy,72,0.567,0.388,116.362,0.452,Muito Popular
Alternative,Red Hot Chili Peppers,Californication,78,0.592,0.767,96.483,0.328,Muito Popular
Alternative,Still Woozy,Habit,69,0.766,0.402,125.107,0.466,Muito Popular
Alternative,Slipknot,Unsainted,75,0.427,0.944,101.078,0.248,Muito Popular
Alternative,Gorillaz,Clint Eastwood,65,0.663,0.694,167.964,0.524,Muito Popular
Alternative,Semisonic,Closing Time,67,0.484,0.841,92.124,0.304,Muito Popular
Alternative,Papa Roach,Last Resort,76,0.589,0.89,90.598,0.692,Muito Popular
Alternative,Frank Ocean,Chanel,73,0.776,0.503,110.134,0.473,Muito Popular
